Sw	Meaning	Sys Cod	PIE ref. (*omitted)	Source	Assessmt.	Rus	Lit	oIs	Bkm	oIr	rIr	Itn	Lat	Alb	aGr	rGr	Arm	Hit	ToB	Ave	San	Hnd
46	foot	290	pe/od- < pḗd-s, pṓd-s	P790	#NAME?		pėda	fótr	fot			piede	pēs		πούς	πόδι	(v)ot-k’	pat-	B paiyye	pad	pād	pair
46	foot	291	step- ‘step’	P1013	seldom distinguished fr leg	ступня (стопа)											(tat)					
46	foot	292	kok̑sā- ‘hip’	P611	branch orphan					(īs)cos	cos											
46	foot	293	L <Lat camba	Holm	orphan									[këmbë] L								
95	full	300	pl̥h₁-nó-s  ‘full, t fill’	P798-D	#NAME?	полный	pìlnas	fullr	full	lān	lán	pieno	plēnus	plotë	πλέος		li-k’ə			pərənō	pūrṇá	pūrṇa
95	full	301	pref+mad- >μεστός ‘full’ ?	(P694)	orphan											γεμάτος						
95	full	302	souh₁/₃-(o)u-?	P1037 (?)	orphan													su(w)u				
95	full	303	L < ?	Adams no clear ety.	orphan														[ṣlyaṣṣe]			
95	give	310	dō- <deh₃- ‘~’	L105,P226		да(вать)	dúo(s)ti					dare	dō	(Aor da-shë)	δίδωμι	δίνω	ta-l/m		wäs-	dadāiti	dá-dāti	denā
70	give	311	gʰebʰ- ‘fassen, geben’	L193;P407-9				gefa	gi													
70	give	312	do +bher ‘carry’	P223+128	Branch orphans					do-beir	tabhair											
70	give	313	h1ep- ‘to grasp, reach’	L237	caus h1op-éi̯e-									(j)ap								
70	give	314	au- < h₁ai̯- (?); or to above?	L229; Kas	Kas:Ety unclear													p-ai	(ai-/āyu)?			
97	good [cf ‘big’]	320	e)suH- <h₁esu-s ‘good, complete’	P1037, P342,	“					(so-, su-L)	(so-)				ἐΰς			āššu-š	( kā-suA)??	(vaŋ)hu	(vá-)su	
97	good	321	gʷerH-4 >gʷr̥Htos- 't welcome, praise'	(L210) P478	questionable		gẽras												kartseB			
97	good	322	L <Skyth, cf Oss χorz 'good‘	(P445?)Vasmer?	-meaning	[хороший]														(hu-bađra)	(bhadrá)	
97	good	323	ghedh- ‘fit, grown up’	P423	Branch orphans			góðr	god													
97	good	324	ma-ti- <meh2-	P693	Branch orphans					maith	maith											
97	good	325	deu-2 ‘verehren’	P218	Branch orphans							buono <	bonus									
97	good	326	meiH- ‘lieblich/mild’ or L < Lat mīru(s)?	P711 ?	undecided									mirë [L?]								
97	good	327	kal-i/u-2 ‘schön, gesund’ >hom κᾱλός	P524	orphan											καλός						
97	good	328	labh- ‘fassen > Beute > gut’	P652	orphan												lav (bari)					
97	good	329a	wē̆su- < h₁we-su- ‘good’, {w-infix}	P1174	W+E, with –su					(fō)											(vásu)	
97	good	329b	No ety; L < Drav.?	P-;SV-;ewy-	orphan																	[acchā]
97	good	329c	bhā̆d- ‘lucky’ & o	P106	-meaning															(hu-bađra)	(bhadrá)	
32	grease n (anat! 1955 fat=Ri)	330	pī-(mo,wo,tu) ‘milk-fat’	P793f	#NAME?			f(e)ita	[fett] <Swe	íth		(pingue adj)	(pingue)		(πῑ-αρ)					pīvah	pī́vas	
32	grease, fat	331	unknown/ немає		Sla orphan	жир																
32	grease, fat	332	teh₁w-k- >teu-ko- ‘Fett’	P1081 (Derksen)	Bal-Sla		taukas															
32	grease, fat	333	‘salted’ bacon	Lu	orphan						saill											
32	grease, fat	334	L < Gre ἄλειφαρ >adeipar ??	P-	Branch loans							[adip|e]	[adeps]									
32	grease, fat	335	dā-mu ‘fluid’	P175	Branch orphans					-				dhjamë	δημός							
32	grease, fat	336	leip-	P670-1	orphan											λίπους						
32	grease, fat	337	L < Per. چربی (charbi)?	Mrt-;ewy-	orphan												[č̣arp]					
32	grease, fat	338	* sóg(´h)-n-ós; or rather L <?	Klo805 ‘oil, fat’	ceremonial word?													[sakan] L				
32	grease, fat	339a	sélp(es)- ‘Butter, Öl’	P901,M/A97	-marked!					-				(gjalp)	-				ṣalyp(e)		(sarpís)	
32	grease, fat	339b	L < Per. چربی (charbi)?	Mrt-;ewy-	orphan																	[carbī]
32	grease, fat	339c	s)meru- ‘t smear, fat’ (ewS)	P966,970	(devt meaning)	(smetana)				-					(μύρον)							
32	grease, fat	339d	not applicable	irrelevant	(devt meaning)		(riebelai)															
32	grease, fat	339e	not applicable	irrelevant	(false meaning)						(bealadh)											
32	grease, fat	339f	not applicable	irrelevant	(false meaning)						(ramhar)											
32	grease, fat	339g	not applicable	irrelevant	(devt meaning)							( grasso)										
32	grease, fat	339h	L <unknown source	Klo;Kas	“n decidable”													(app-uzi)				
32	grease, fat	339i	mad-t ~ masd ‘t fatten’ and s	irrelevant	(devt meaning)					-								[talka] (Št)?				
32	grease, fat	339j	ma(s)d-t ‘t fatten’	P694 ~L422	(false meaning)																(mḗdas)	
88	green [amb! cf. yellow]	340	ĝhel(h₃)i-‘yellowish’?	P429	#NAME?	зелёный	želiù/ žãlia-			glas	glass				χλωρός					Mh zairi	hárita	harā
88	green	341	ghreH-n ‘grow(ing)’	P440	Branch orphans			grønn	grønn													
88	green	342	weis-1 ‘sprießen’	P1133	Branch orphans							verde	viridis									
88	green	343	L <Lat galbinus or gilvus	Holm	Loan									[gjelbër]								
88	green	344	πράσον 'Lauch' >AGre πράσινος 'lauchgrün'	P846	Orphan											πράσινος						
88	green	345	L < ?	ewS, Mrt n ety	Loan?												[kanačʿ] ?					
88	green	346	L <N-Cauc?	Kass35	Loan?													[ḫāḫḫall-]				
88	green	347	L < ? no convincing	enw-; Adams	Loan?														[motartstse]			
37	hair	350	wol-to ‘wool, hair’	P1139	-marked?	волосы				folt	(folt)									varəsa		bāl
37	hair	351	pleuk- ‘Flocke, Haar’	P837	Orphan		pláuka-s														(pula)?	
37	hair	352	ƙer(s)	P583-1	Gmc			hár	hår													
37	hair	353	gher- ‘drehen, winden’	Lucht: ? P389	Orphan						gruaig(ul)											
37	hair	354	pi-lo ‘filt’ ~pu-lo ‘stiff hair’	P830	Orphan							pelo	(pilus)								(pula)?	
37	hair	355	caput-pilus	P830	Orphan							(capelli ‘of head’)	capill|i									
37	hair	356	L <MLat cyma or Gre κυ̃μα	Holm	Loan									[qime]L								
37	hair	357	dhri-gh/kh- ‘Haar, Borste’	P276	Orphan										τρίχες							
37	hair	358	mel-4 >μᾱλλον ‚mehr‘ (Haare‘)?	(P720)	Orphan											μαλλιά						
37	hair	359	L < MPer mwd ‘hair’	(ewyFarsi); Mrt-	cf. Toch.		(Lav mati)										[maz]					
37	hair	359a	L < ?	Klo392;Kas36:iso.	prob Loan													[tetana-] L				
37	hair	359b	cf. MPer mwd ‘hair’	(ewyFarsi);ewS-;Ad~	Orphan		(Lav mati)												B matsi			
37	hair	359c	kaiƙ/s ‘hair, comb’	P520	Orphan								(caesaries)						(śākuA)	(gaića)	kéśa-	(keś)
37	hair	359d	not applicable	irrelevant	(devt meaning)															(gaona-)		
48	hand	360	ĝhes-r̥	P447	(‘hand’ only E)	-	-							dorë	χείρ	χέρι	dseṙ-k/n	kessar	(t)sar	zasta	hásta	hāth
48	hand	361	wer-k-3F- ‘winden, gekrümmt’	P1155	Bal-Sla	рука =	ranka															
48	hand	362	hinþan- ‘reach’ incomplete! Thus <Substr <Uralic ket ‘hand’	Kro; Schri, Holm	Branch orphans			hǫnd	[hånd]													
48	hand	364	pl̥H-mā	P805	Branch orphans					lám	lámh										(kará)	
48	hand	363	meHr, mHnόs, dV:mon-u-	P740-1, dV363	Branch orphans	?						mano	manus	[marr ‘take’]	(μάρη)							
38	head(anat)	370	ƙórs- < ƙr̥(ḗ)h₂(s-) head, upper part, horn’	P574	only E								(cerebrum)	(krye t s)						sarah-	śíras	[sar] (Per>L)
38	head	371	kap-ut/elo-	P529f	W form,(Lu?)			hǫfuð	hode				caput								(kapā́la ‘Hirnschale’)	
38	head	372	ghebh-elo (ewS)	P423	E form										κεφαλή	κεφάλι			( A śpāl )			
38	head	373	gal-1 >ghōlu-ko-?	P340-1; 350?	questionable	golová	galva						(calva)				glux					
38	head	374	L < ?	pGoid k(w)enno-m	Branch orphans					[cenn]	[ceann]											
38	head	375	teƙÞ-ta >testa ‘Schale, Scherbe’ >‘Hirnschale’	P1058								testa										
38	head	376	L <Vlat coccum ‘berry’	Holm	(anatomical)									[kokë]L								
38	head	377	h₃ers-r ‘Gipfel’	[P326-9?]	cf Nussbaum!													haršar				
38	head	378	h2esteh₁-s/n ‘bone’?	Adams; ewy-	Orphan														[B āśce]?			
58	hear (v)	380	ƙlew-(s) ‘hören’	L334f,P605-1	Lu +W+E	slušat				ro-cluine-thar	cluin		(inclutus)		(κλῦθι!)		lse-l		B klyaus-	surunaoiti	śr̥ṇṓti	sunnā
58	hear	381	s)keu-1	P587				heyra	høre						ἀκούω	ακούω						
58	hear	382	g(w)erdh- ‚hören, tönen‘	L187,P478	orphan		girdėti															
58	hear	383	au-8 <h₂weys- ‘hören’	L288;P78	Branch orphans							udire	audio									
58	hear	384	L < Lat intelligere	Holm	orphan									[dëgjoj]L								
58	hear	385	stéh₃-mn	(P 1035)	meaning change													istamass		(guš)		
52	heart	390	ƙḗrd-	P579	#NAME?	serdce	širdìs	hjarta	hjerte	cride	croi	cuore	cor		καρδίᾱ	καρδιά	sirt	kard		zǝrǝđaiia-	hŕ̥d-	
52	heart	391	gu̯hen- ‘t beat’	L218;Holm	Verbalnomen									zemër								
52	heart	392	h2eh2(e)ri- (??)	Adams															arañce			
52	heart	393	L <Per. del ‘id’	SV =ewy	Loan																	[dil]
34	horn (anim.) [cf head]	400	ƙer-(eu-)	P574	(Lu~) +W+E			horn	horn			corno	cornū		κέρας	κέρατο		karāwar	B krorīya	srū	śṛ́ṅga	sī̃g
34	horn	401	here : reĝ/g-?	(P854)	Bal-Sla	rog =	rãgas															
34	horn	402	L < ? (Basque adar?)	Lu	Branch orphan					[adarc]L	[adharc]L											
34	horn	403	bhren-to- ‘antlers’	P168 > Holm										bri-ri								
34	horn	404	unknoen: L < ?														[eġǰewr]					
93	hot (vs. cold; 1952: warm) [amb]	410	gwher-(mo) warm, hot’ (<ĝwer- ‘glow’)	P493 <P479?	Lu +W+E	žarkij		(varmr)					(fornus??)	nxehtë	θερμός		(ǰerm)			garǝma	(gharma)	[garm]
93	hot	411	tep- ‘hot (warm)’	P1069	meaning?	(toplъ)				tē	te		(tepidus)							(tāpaiti )	(tap)	
93	hot	412	here: ker-3 ‘burn’	P572	orphan		karštas															
93	hot	413	keh₂y-t- ‘heat’	519	Branch orphans			heitr	[het]													
93	hot	414	ƙel-1 2 ‘warm’	P551	Branch orphans							caldo	calidus									
93	hot	415	h1ews- >eus- ‘burn’	L245,P347	orphan											ζεστός						
93	hot	416	uncertain	ewy	orphan												tak’					
93	hot	417	ai- < h₁ay-²? ‘be warm’	L229,P11,68	Hit only!													a(i)-ant				
93	hot	418	h₁n̥-ml̥-(y)o-; cf. Icel. molla '(be) hot'?? or L < ?	Adams not conv.; Mal-	Icl word without ety. not sufft.														[B emalle]			
93	hot	419	h1)ews- ‘to burn’	P347	orphan																uṣṇá-	
1	I (PrsPrn 1Sg)	420	eĝ(h)o(m)- <h₁eĝ(h)-o(m)	P291	#NAME?	ja	àš	ek	jeg			io	ego	unë(?)	ἔγω	εγώ	(j)es	uk	ñäśB  (?)	azǝm	ahám	
1	I (PPr)	421	mē (obl)	P702						mé	mé											maĩ
62	kill v (cf die!) (Ri-L	430	gwhen- ‘beat, (kill only E)’	L218,P491	Lu (+W)+E	-	-			( gon-)					(θεν- ἔπεφνον)		(ǰnjem)	kuen-	-	jainti	hán-ti	
62	kill	431	mer(h₂)- ‘die, kill’	(L439,440),P735						(marbaid)	maraigh									(marək- )		māraṇ
62	kill	432	here: bhiH-	P117	Orphan	у-бить							(interficio)									
62	kill	433	ĝʰeu-d- ‘umkommen’?	P448?, L-	orphan		žudyti															
62	kill	434	dʰreb- ‘stoßen, treffen’ (?)	L153, P272-3	Branch orphans			drepa	drepe													
62	kill	435	per(g)?, (or h3erg- ?)	P819; L-; P473; L 301	Orphan					orcaid							(ehar-, harkanem)					
62	kill	436	kh₂eyd- ‚schlagen’ >ob-caedo-	(L360),P917	Orphan							uccidere	(occīdere)									
62	kill	437	neƙ- ‘t perish’ (?)	P762;M/A98	meaning??								necare						(nkäṣ)			
62	kill	438	L <SSlav ~u-rasiti	Holm (P1181)	Loan									[vras]L								
62	kill	439a	tƙen- ‘beat’	L645;P626 fehlt	meaning??										κτείνω	σκοτώνω						
62	kill	439b	L < “unknown origin”	ewy-; Mrt no entry!	Loan?												[span-el]					
62	kill	439c	kā/əu <keh₂w-2 ‘schlag-, spalt-’	L345,P535	Orphan														kau-(ṣäṃ)B			
62	kill	439d	(to murder’)	irrelevant	Orphan		(užmùšti)															
47	knee (bodypt)	440	ĝénu-/ĝónu-	P380	#NAME?			kné	kne	glún	glúin	ginocchio	genū	gjuri	γόνα/υ	γόνατο	cunk’	genu	B keni	žnū-m	jā́nu	
47	knee	441	here: (s)kel-1 ‘to bow’	P928		колено	kẽlis															
47	knee	442	L <San. <Dravidian	SV454	Loan																	[ghuṭnā]
59	know (facts)	450	weyd- ‘t behold, notice’ (abstract?)	L665,P1125	(Lu-!) +W+E	(věditi)	(veidmi)	vita	vite	ro-fitir	tá a fhios ag		(vid-)		οἶδα		gite-m ‘find’			vaēđa,vid	véda	
59	know	451	ĝ(e)nē/ō- <ĝne(i)h3 ‘recognize, know?’	L168,P376	meaning	знать	žinóti					(conoscere)	(g)nōscō	(njoh)	(ἀγνοέω, γιγνώσκω)		(cancay)	kaness	(knā(n)A	(xšnā ‘recogn’))	(jñā )	jān-
59	know	452	seh₁p- ‘wahrnehmen’	L519;P880	orphan							sapere										
59	know	453	sekH- <skh₁-i-‘abtrennen’	L524;P895-6; dV545; Kas45	orphan (Hit polysem.)								scio					(sākk-)				
59	know	454	dhei̯H- ‘see, regard’	L141,P243	orphan									dī								
59	know	455	wreh₁- ‘find’ >(ἐξ)-ευρίσκω	L698,P1160	orphan											ξέρω						
59	know vi	456	s)ker- ‘to cut’	P938-45	orphan														B kärs-			
59	know	457	irrelevant	irrelevant	(devt meaning)		(pa-žì)															
59	know	458	Mrt no ety	P727 ??	(devt meaning)												(imanal)					
25	leaf (of plant)	460	bhel-4 <bʰleh₃- ‘leaf, blossom’;	P122-4	#NAME?			(blað)	blad			foglia	folium		φύλλον	φύλλο			B pilta			
25	leaf	461	L <Scythian? cf oInd r/liśati ‘pluck’ <h₁reiyƙ- ‘reißen’	(L504)	Bal-Sla =substratum	[лист]	(laĩškas)															
25	leaf	462	leup/bʰ- ‘abreißen’; or leh₁p- ‘flach’	P690; P679	debatable		P lapas	lauf														
25	leaf	463	<dʰol-yom <dʰol- 'blühen, grün'	P234; not L132	Branch orphans					duille	duille											
25	leaf	464	gwos-d- ‘foliage, branches’	P480	Orphan									gjethe								
25	leaf	465	1. pter- <pet ‘fly’??  2. L <cSyriac ṭarpā ‘id.’	1. Mrt.false “t’er-“ 2.ewy w Refs	1. not conv.; 2.Loan												[terew]					
25	leaf	466	L <? ‘leaf, foliage’	Kas46;Klo645	Orphan													parstu- 16				
25	leaf	467	wel- ‘rupfen’ ? (cf bhel-)	(P1139)	Orphan															Y varəka-		
25	leaf	468	‘foliage’?	Mh II-103 no ety	Orphan	(бӕлас)															[palāśa]	
25	leaf	469a	pet-2 ‘fall down, fly’ >feather (of tree) ?	P826(5)	Orphan																(páttra)>	pattā
25	leaf	469b	‘pinion, feather >leaf’	ewy	(devt meaning)?																(parna)>	(paṇṇa)
25	leaf	469c	h₁u̯erb- ‘twig’ ?	HVB8.56a; (P1153-3B)	(devt. meaning)?													(hurpašta-)				
67	lie (recline, rest)	470	legh-, vt>i	L398,P658	#NAME?	ležatь		liggja	ligge	laigid	luigh-		(Fl: lecet)		(λέκτο)			(lagari, Pok alone)	B ly-äk			
67	lie	471	ƙei- ‘lie, home’ ?	L320,P539; Kas47	-only E										κεῖμαι			ki-		saēte	śay, śḗtē	
67	lie	472	gol-1 ‘to lie’ vi!	P402	Orphan		gulėti															
67	lie	473	ye-k- ‘speak, beg, joke, ’ ? uncertain	(P502,3)	Orphan							giacere	iaceo									
67	lie	474	sterh3-, pres str̥-né	L599	Orphan									shtrihem								
67	lie	475	Unknown	ewy-; fwy-	Loan?											ξαπλώνω						
67	lie	476	No ety L < ?	ewy, Mat	Orphan												[paṙkel]					
67	lie	477	leh₁-d- ‘lassen’ (?) >San leṭyā	L400:P666	Orphan																	leṭnā
67	lie	478	keu-b < ?ƙeubh₂ ‘rest’	L357?,P5902	(dvt meaning)								(cubō)									
53	liver	480	yḗkw-r̥(t-) < (H)yḗkw-r̥-	P504	#NAME?		(yeknā)						iecur		ἧπαρ		leard, lyard			yākarǝ	yákr̥t	yakṛt
53	liver	481	pekw- ‘t cook, bake’ metathesis	(P798)	Bal-Sla	печень	kẽpenys															
53	liver	482	leip-¹ ‘m Fett be-schmieren’ ?	P670(504) ?	Branch orphans (Nostratic?)			lifr	lever													
53	liver	483	L < ?	LU: unknown substrate	Branch loans					[áe] L	[ae] L											
53	liver	484	ficus ‘Feige’ > iecur fīcātum 'fig-stuffed liver'	P504	L-Prägung <Gr.							fegato										
53	liver	485	L < Got milt; via Itn milzi?	Holm	Loan									[mëlçi]L								
53	liver	486	σύκον ‘fig’	ewy	calque of Lat. ficatum											συκώτι						
53	liver	487	L< Hattian	Klo 525	Loan													[lessi] L				
53	liver	488	udero > udstṛyo-	P1104;Adams															B wästarye			
14	long	490	del-5 < (d)l̥h₁nghó-s	P196,7	#NAME?	dlinnyj	ilg-a	langr	lang			lungo	longus	gjatë	δολιχός			taluki		darǝga	dīrghá	(dīrghá)
14	long	491	wozdh-	P1113						fota	fada											
14	long	492	mh₂ḱrós ‘lang, dünn’	P699												μακρύς						
14	long	493	deu-3 ‘to advance, extend’ <dweh₂ro-	P219-20													(j)erkar(in)					
14	long	494	bʰṛĝʰ-ró	P140f	E; meaning												(barjr ‚tall‘)	(parkus ‘tall’)	B pärkare	(bərəzant ‘tall’)	(bṛhant)	
14	long	495	le(m)b- ‘harabhängen’ >Sanlamba +kaḥ ‘long’	(P655-660)														-				lambā
22	louse [Ri only i list]	500	lū̆-s-	P692	#NAME?	вошь (Луиш bio)	utė̃-lė	lús	lus										(luwa)	St,Ri - na	yūkā	jū̃
22	louse	501	L ><Bas sorri? or vv		Orphan					[sar]												
22	louse	502	mēlo- ‘kleines Tier’	Lucht: P724	Orphan					(míl étgudo)	míol											
22	louse	503	pezd- ‘stinken’	P829	Branch orphans							pidocchio	pēdi(culu)s									
22	louse	504	merh2- ‘zerdrücken, to squeeze’	L440	Orphan									morri								
22	louse	505	dhghe-r-	P487	Branch orphans										φθείρ	ψείρα						
22	louse	506	ereƙ/gh- ‘Laus’	P335 ✓	Orphan									Pok(ergjiz)			(v)oǰil					
22	louse	507	Gap															G				
22	louse	508	L < ?		Orphan														[B pärśeri]			
22	louse	509a	špeža (Mper), no further ety	BH,Bla, not Skj	Branch orphans															spiš-		
22	louse	509b	knid; cf. Gmn. Nisse*	irrelevant							(cnis)											
17	man (adult male human) cf person	510	a)ner- <h₂nḗr-1	P765-1	only E?								(Osc:nerum)	(njeri)	ἀνήρ	άνδρας	(P: air)			nar	nár	nar
17	man	511	wī̆ro-s- ‘power, hero, warrior’	P1177	only W?		výras	(verr)		fer	fear		vir							(vīra)	(vīrá)	
17	man	512	manu-s ‘man’; perhaps <dhéĝhom- (P:ĝhðe/om-)	P700; (P415)	meaning!	mužčina			mann												(mánu-)	
17	man	513	ĝerH- ‘grown-up’	P391	Orphan			karl														
17	man	515	dhéĝhom- (P:ĝhðe/om-)	P415	Orphan							uomo	(homo)									
17	man	516	bhu̯eh2- ‘to be/ dwell’	Holm <L98	Orphan									būrrë								
17	man	517	tġa ‘boy’ <Syriac +mr̥tó-s	ewy w sources	Orphan												tġamard					
17	man	518	pes, peisnis?	P796,824-3; Kas51	Orphan													pesan				
17	man	519a	neƙ- ‘umkommen, ver-schwinden’ >’Vergänglicher’	L451,P762	Orphan														B eṅkwe			
17	man	519b	Not Applicable	irrelevant	(devt meanings)															(mašya)		
17	man	519c	Not Applicable	irrelevant	(devt meanings)																	[ādmī]
10	many n [NOT: full, big, much]	520	pelu-D <pelh1,3- ‘much’	P800-D	#NAME?			(fjǫl)		il-	a lán		(plēnus)		πολύί	πολ-ι				paru	purú	
10	many (plural!)	521	meH-4 ‘more’ > mHen(gh)- ‘plenty’	P704-4 >P730	-meaning	многие		margir	mange													
10	many	522	meĝ(h)-‘big’	P708 etc.	(cf “big”)										(μέγας)			mēkki 24	māk(a) 24	(māk-)	(máhi)	
10	many	523	dheugh- ‘to give much’	P271 etc.	Orphan		daũg															
10	many	524	mel-4 ‘groß’	P720 etc.	Branch orphans							molti	multi									
10	many	525	L <Lat summu(s)	Holm Alb	Orphan									[shūmë]L								
10	many	526	L < ?	(Pok,VP, Mrd)	Orphan												[šat]					
10	many	527	bhn̥ĝh-u- ‘thick, dense’	P127	Orphan																(bahú)	bahut
73	moon	530	mē-(nōt) ‘Mond’	P731f	#NAME?		mė́nulis	máni	måne						(μήνη)				mañ;meñe	mā̊(ŋha-)	mā́s	
73	moon	531	leuk- ‘to shine’	P687-9,=L	cf gre white	лунá						luna	lūna				lusin					
73	moon	532	s)kand- ‘Mond, ‘leuchten’	P526	-marked									hënë							(candrá-)	cā̃d, chānd
73	moon	533	peig ‘Flecken habend’?	P794-1	orphan					ésca												
73	moon	534	ǵʰelh₃- 'to shine'; or gel- ‘id’	P429; P366; not L-	orphan						gealach											
73	moon	535	swel- ‘schwelen’ > σέλας (selas) “light, glow”	P1045-2 (?)	orphan										σελήνη							
73	moon	536	sbʰeng- ‘glänzen’ >AGre φέγγος 'moonlight' >φεγγάριον{Dim} >φεγγάριν	P989-90; L512	orphan											φεγγάρι						
73	moon	537	h₁(o)r-mo-? unclear	Klo206;Kas	Branch orphan													arma				
86	mountain [not universal, amb]	540	gwerH-3	P477-3	#NAME?	гора	(nugarà)							(gur)	(δειρός)					gairi-	girí	
86	mountain	541	kel-1, kl̥n-is ‘Hügel’; (~ƙloi-?)	P544-1	-meaning?		kálna-s						(collis)		(κολωνός)		le(a)ṙ(n)?	(kalm-ara)??				
86	mountain	542	perli-s ‘Fels/rock’	P807	Branch orphans			fjall	fjell													
86	mountain	543	s)lei-bos ‘cliff’	P363,663,960	Branch orphans					slíab	sliabh						(sar ‘summit’)					
86	mountain	544	men-1 emerge’ >mn̥-t-	P726-1	only Ke-It					(moned)	-	montagna	mōns	-								
86	mountain	545	mel-8 ~mol ‘elevation’	P721-8,725	seldom					(mell)	-			mal-i								
86	mountain	546	h3er- ‘to (a)rise’	Oet;P328	orphan										ὄρος							
86	mountain	547	bh(e)u: ‘to blow up’	P98?	orphan											βουνό						
86	mountain	548	Gap	All sources							-							G				
86	mountain	549	L < ?	Adams: no convincing	Loan?						-								[B ṣale]			
86	mountain	549	pér-ur/un >San parvata	hi.wiki!ewy~; (Klo)							-							(peru-n ‘rock’)		(paurvat-)	(parvata)	parvat
86	mountain	549	meaning ‘rock’ (!)	Not hi.wiki!	(dvt meaning)						-											(pahāṛ)
42	mouth	550	ōws-(t)- <h1eh3-os- ‘mouth, estuary’	P784-1	#NAME?	(usta)	(austo)						ōs					á(y)is		āh/åñh/åŋh-ânô	ā́s	
42	mouth	551	wer-6 ‘schwören’;cf OCSl rota ‘Eid’	(P1162)	orphan	рот																
42	mouth	552	bher-3 ‘pierce’ +ug	P134,145?			burnà										beran					
42	mouth	553	menth-2 ‘kauen; Mund’	P732-3 2	Branch orphans			munnr	munn				(mentum)									
42	mouth	554	gʷet- ‘lip, mouth’	P480/481	Branch orphans					bél(ā)	béal											
42	mouth	555	L < ? “motivi discussi”	Cor226;dV76Sub	Loan							[bocca]L3<	(bucca)									
42	mouth	556	L <Lat gula	Holm	Orphan									[gōjë] L								
42	mouth	557	stomn	P1035	Branch orphans										στόμα	στόμα						
42	mouth	558	ĝ/gʰan- ‘klaffend öffnen’	(L193,P411)	Orphan														koy(n)			
42	mouth	559	L < PDrav. mujt?	(P751)	Loan?																(mukha)	[mũh]
45	nail of digits (not followg Sw’ change to ‘claw’)	560	onogʰ- <h₃(e)nogh- ‘nail, claw’)	P780 etc.	#ERROR!	nogotь	nãgas	nagl	negl	ingen	ionga	unghia	unguis	-	ὄνυξ	νύχι (+)	eġung	sankuwāi	mekwa	(I-I nakh- nur Per)	nakh	nakh
45	nail(s) (claw)	561	kent- ‘stechen’ ?	P567 ?										thua (çapua)								
45	nail(s) (claw)	562	ƙer-eu	BH (P574)																BH: srū-		
45	nail(s) (claw)	563	Not applicable L < Ira?	irrelevant	(devt meaning)												[čank]?					[changul]-
100	name [uninf]	570	enómṇ- <h₁néh₃-mn̥ ‘name’	P321 etc.	#NAME?	имя	(emnes)	nafn	[navn]	ainmm	ainm	nome	nōmen	émër	ὄνομα	όνομα	anun	lāman	ñem	nāma(n)	nā́man	nām
100	name	571	wer-6 ‘to speak’	P1163	orphan		vardas											-				
50	neck (not nape) [difficult]	580	mon-o/i- ‘neck, nape?’	P747	weak					(muiné)	muineál									manaoʮrī	(mányā ), manaoθrī	
50	neck	581	kwol-so- <‘turn’, seldom ‘neck’	P639 (<L386)	only West		kãklas	hals	hals			collo	collum						[ś-?]			
50	neck	582	skabh- ‘to prop up’?; or s)k(h)ai- ‘beat’?	(ru: P916; 917?)	questionable	шея								(zverk-)						St: griva? (garǝman)	(grīvā́ )	
50	neck	583	gwriH-ueh₂ ‘throat’	P474	meaning?					brá(i)g(a)e	(braid)									UT barəša-		
50	neck	584	L <Balkan-Trk kafa ‘back of head’ <Arb qabba ‘collar’	Holm Alb	Orphan									[qafë]L								
50	neck	585	anĝh- ‘narrow’	P42-3	only Balkan										αὐχήν		viz					
50	neck	586	lem-2 ‘Schlund’?	(P675)	Orphan											λαιμός						
50	neck	588	geut ‘Kehle, Hals’?	P394!; Kas58-	Nacken!													ku(wa)ttar				
50	neck	589a	ƙṛh₂s-ní-yom- ‘top of head’	P575=Adams	Orphan														krāñi			
50	neck	589b	L < Per. گردن ‎(gardan) ‘id’; cf. ave. garəman	SV392, ewy; P474	Loan																	[gardan]
96	new	590	néwo- >new-yo-	P769 etc.	#NAME?	новый	naũjas	nýr	ny	nūë, núa	nua	nuovo	novus		νέ(F)ος		nor	nēwa	ñu-(we)	nava	náva	nayā
96	new	591	h1ere(i)- ‘freshly coming in motion’	Holm: P330										i ri								
96	new	592	ken-3, kn̥-yós ‘frisch hervorkommen’	P563-4	(devt meanings in Ind-Ira)											καιν(ούργι)ος						
92	night	600	nó/ekw-t- <néh3kwt- (ori ‘dawn/afterglow’?)	P762	#NAME?	ночь	naktìs	nótt	natt	?(nocht )		notte	nox	nātë	νύξ	νύχτα		(nekuz ‘dawn/afterglow’)	(naktim)		(nákt)	
92	night	601	kwsep- ‘dark’	P649; Kas60	E only													išpant		xšap	kṣáp	
92	night	602	(y)adak§ ‘die Schwarze’ (?)	Lucht -	Orphan					adaig [L?]	>oíche											
92	night	603	wekwsperos- ‘evening’	P1173	Orphan												gišer					
92	night	604	wes-1 <h₂wes- ‘stay, remain (the night)’	Adams (L293)	Orphan														B yṣīye			
92	night	605	rē-5 ‘dunkel’ *lā-2 ‘hidden’	P853 >651	Orphan										(ψέφος)							rāt
41	nose	610	nā̆s- <Hneh₂-es-? h₂énh₁os-??	P755; MBr:	#NAME?	нос	nósis	(nǫs, nasar)	[nese]<da			naso	nāsus, nāris							nāh	nā́s-	nāk
41	nose	611	nebʰ-² ‘bersten’??	(L448)	PGmc (s)nab-			nef														
41	nose	612	spren- ‘spüren/ Sporn’	P992	Branch orphan					srón	#NAME?											
